settled_utc,run_date,comp,fixture_id,kickoff_utc,league,home,away,score,home_goals,away_goals
2026-09-19T07:48:19Z,2026-09-18,leagues,1638098,2026-09-18T16:00:00Z,Veikkausliiga_Finland,AC Oulu,Inter Turku,0-1,0,1
2026-09-19T07:48:19Z,2026-09-18,leagues,1549783,2026-09-18T21:00:00Z,Colombia_PrimeraA,Águilas Doradas,Deportivo Pereira,2-2,2,2
2026-09-19T07:48:19Z,2026-09-18,leagues,1569926,2026-09-18T18:30:00Z,Spanish_Segunda,Albacete,Cordoba,1-2,1,2
2026-09-19T07:48:19Z,2026-09-18,leagues,1551797,2026-09-18T18:00:00Z,Eerste_Divisie,Almere City FC,Heracles,1-0,1,0
2026-09-19T07:48:19Z,2026-09-18,leagues,1552477,2026-09-18T18:00:00Z,Ligue_2,Annecy,Dijon,1-2,1,2
2026-09-19T07:48:19Z,2026-09-18,leagues,1585760,2026-09-18T13:00:00Z,1_Lig_Turkey,Bandırmaspor,Ümraniyespor,0-1,0,1
2026-09-19T07:48:19Z,2026-09-18,leagues,1575167,2026-09-18T18:30:00Z,Germany_Bundesliga,Bayern München,Union Berlin,7-0,7,0
2026-09-19T07:48:19Z,2026-09-18,leagues,1492771,2026-09-18T19:00:00Z,Irish_Premier_Division,Bohemians,Drogheda United,2-1,2,1
2026-09-19T07:48:19Z,2026-09-18,leagues,1557408,2026-09-18T19:00:00Z,Premier_League,Brentford,Chelsea,3-0,3,0
2026-09-19T07:48:19Z,2026-09-18,leagues,1563168,2026-09-18T19:00:00Z,Championship,Bristol City,Watford,1-0,1,0
2026-09-19T07:48:19Z,2026-09-18,leagues,1520881,2026-09-18T23:30:00Z,Serie_B_Brazil,Ceara,Novorizontino,2-1,2,1
2026-09-19T07:48:19Z,2026-09-18,leagues,1493140,2026-09-18T21:00:00Z,Liga_Profesional_Argentina,Central Cordoba de Santiago,Defensa Y Justicia,2-2,2,2
2026-09-19T07:48:19Z,2026-09-18,leagues,1559162,2026-09-18T18:00:00Z,Belgium_Challenger_Pro,Club Brugge II,KAA Gent II,2-2,2,2
2026-09-19T07:48:19Z,2026-09-18,leagues,1551798,2026-09-18T18:00:00Z,Eerste_Divisie,Den Bosch,Helmond Sport,2-1,2,1
2026-09-19T07:48:19Z,2026-09-18,leagues,1492772,2026-09-18T18:45:00Z,Irish_Premier_Division,Derry City,Galway United,1-0,1,0
2026-09-19T07:48:19Z,2026-09-18,leagues,1492773,2026-09-18T18:45:00Z,Irish_Premier_Division,Dundalk,Shelbourne,2-3,2,3
2026-09-19T07:48:19Z,2026-09-18,leagues,1570397,2026-09-18T19:00:00Z,La_Liga,Espanyol,Elche,1-3,1,3
2026-09-19T07:48:19Z,2026-09-18,leagues,1497705,2026-09-18T17:00:00Z,Superettan,Falkenbergs FF,Ostersunds FK,0-0,0,0
2026-09-19T07:48:19Z,2026-09-18,leagues,1567910,2026-09-18T18:30:00Z,Austrian_2_Liga,FC BW Linz,Admira Wacker,3-0,3,0
2026-09-19T07:48:19Z,2026-09-18,leagues,1551799,2026-09-18T18:00:00Z,Eerste_Divisie,FC Eindhoven,Emmen,3-1,3,1
2026-09-19T07:48:19Z,2026-09-18,leagues,1551803,2026-09-18T18:00:00Z,Eerste_Divisie,FC OSS,Dordrecht,3-0,3,0
2026-09-19T07:48:19Z,2026-09-18,leagues,1555058,2026-09-18T17:30:00Z,Swiss_Challenge_League,FC WIL 1900,Stade Nyonnais,5-0,5,0
