published_utc,run_date,comp,fixture_id,kickoff_utc,league,home,away,model,p_HOME_WIN,p_DRAW,p_AWAY_WIN,p_OVER_1_5,p_OVER_2_5,p_UNDER_2_5,p_UNDER_3_5,p_BTTS,p_GOALS_1_3,p_GOALS_2_3,p_UPSET,backed
2026-09-18T07:15:29Z,2026-09-18,leagues,1638098,2026-09-18T16:00:00Z,Veikkausliiga_Finland,AC Oulu,Inter Turku,v3/binary,0.2104,0.2126,0.5770,0.6908,0.3399,0.6784,0.9025,0.4106,0.7935,0.5452,0.2826,
2026-09-18T07:15:29Z,2026-09-18,leagues,1549783,2026-09-18T21:00:00Z,Colombia_PrimeraA,Águilas Doradas,Deportivo Pereira,v3/binary,0.8624,0.0493,0.0883,0.8201,0.6739,0.2954,0.5926,0.5963,0.5289,0.3058,0.0500,ASIAN_OVER_2_0
2026-09-18T07:15:29Z,2026-09-18,leagues,1569926,2026-09-18T18:30:00Z,Spanish_Segunda,Albacete,Cordoba,v3/binary,0.4154,0.1078,0.4768,0.8504,0.6629,0.3262,0.7102,0.6918,0.7388,0.5637,0.4255,ASIAN_OVER_2_0
2026-09-18T07:15:29Z,2026-09-18,leagues,1551797,2026-09-18T18:00:00Z,Eerste_Divisie,Almere City FC,Heracles,v3/binary,0.3086,0.2476,0.4438,0.8982,0.6733,0.3387,0.6012,0.6224,0.5381,0.4577,0.2469,OVER_2_5
2026-09-18T07:15:29Z,2026-09-18,leagues,1552477,2026-09-18T18:00:00Z,Ligue_2,Annecy,Dijon,v3/binary,0.4654,0.1256,0.4089,0.7224,0.6391,0.3562,0.6660,0.5806,0.5794,0.4062,0.1743,
2026-09-18T07:15:29Z,2026-09-18,leagues,1585760,2026-09-18T13:00:00Z,1_Lig_Turkey,Bandırmaspor,Ümraniyespor,v3/binary,0.4174,0.3446,0.2380,0.6498,0.4069,0.6020,0.7485,0.4142,0.5434,0.3570,0.2659,
2026-09-18T07:15:29Z,2026-09-18,leagues,1575167,2026-09-18T18:30:00Z,Germany_Bundesliga,Bayern München,Union Berlin,v3/binary,0.7420,0.1148,0.1431,0.9500,0.9500,0.0698,0.2566,0.6594,0.1712,0.1751,0.1264,OVER_2_5
2026-09-18T07:15:29Z,2026-09-18,leagues,1492771,2026-09-18T19:00:00Z,Irish_Premier_Division,Bohemians,Drogheda United,v3/binary,0.6304,0.3200,0.0497,0.9303,0.6307,0.3695,0.5853,0.6651,0.4491,0.4369,0.1065,
2026-09-18T07:15:29Z,2026-09-18,leagues,1557408,2026-09-18T19:00:00Z,Premier_League,Brentford,Chelsea,v3/binary,0.2277,0.4117,0.3471,0.7794,0.6885,0.3076,0.6685,0.5744,0.5453,0.4897,0.3543,DRAW
2026-09-18T07:15:29Z,2026-09-18,leagues,1563168,2026-09-18T19:00:00Z,Championship,Bristol City,Watford,v3/binary,0.5937,0.2455,0.1608,0.8280,0.5318,0.4481,0.6758,0.5173,0.5992,0.5095,0.2054,
